Location,In Scope,Type,Size,Date,Level,Title,Description,Keywords,H1TagTexts,Word Count,LinksIn,LinksOut,Images,Audios,Videos,Documents,Notes
http://snapcats.org/siberian.htm,TRUE,text/html,8450,2017-02-18T23:53:50,3,SNAP Cats - Siberian Cat Breed,,,,144,2,34,22,0,0,1, 
http://snapcats.org/singapura.htm,TRUE,text/html,8446,2017-02-18T23:53:50,3,SNAP Cats - Singapura Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/snowshoe.htm,TRUE,text/html,8439,2017-02-18T23:53:53,3,SNAP Cats - Snowshoe Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/somali.htm,TRUE,text/html,8403,2017-02-18T23:53:53,3,SNAP Cats - Somali Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/sphynx.htm,TRUE,text/html,8397,2017-02-18T23:53:54,3,SNAP Cats - Sphynx Cat Breed,,,,141,2,34,22,0,0,1, 
http://snapcats.org/tonkinese.htm,TRUE,text/html,8450,2017-02-18T23:53:55,3,SNAP Cats - Tonkinese Cat Breed,,,,144,1,34,22,0,0,1, 
http://snapcats.org/turkishangora.htm,TRUE,text/html,8437,2017-02-18T23:53:56,3,SNAP Cats - Turkish Angora Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/turkishvan.htm,TRUE,text/html,8408,2017-02-18T23:53:56,3,SNAP Cats - Turkish Van Cat Breed,,,,141,1,34,22,0,0,1, 
http://snapcats.org/docs/uti.doc,TRUE,application/msword,100352,2017-02-19T00:30:26,3,,,,,,1,,,,,, 
http://snapcats.org/docs/uri.doc,TRUE,application/msword,115200,2017-02-19T00:30:26,3,,,,,,1,,,,,, 
http://snapcats.org/docs/synechiae.doc,TRUE,application/msword,103936,2017-02-19T00:30:25,3,,,,,,1,,,,,, 
http://snapcats.org/docs/ringworm.doc,TRUE,application/msword,106496,2017-02-19T00:30:22,3,,,,,,1,,,,,, 
http://snapcats.org/docs/toxoplasmosis.doc,TRUE,application/msword,110592,2017-02-19T00:30:25,3,,,,,,1,,,,,, 
http://snapcats.org/docs/senior_cats.doc,TRUE,application/msword,126464,2017-02-19T00:30:22,3,,,,,,1,,,,,, 
http://snapcats.org/docs/rhino.doc,TRUE,application/msword,109568,2017-02-19T00:30:21,3,,,,,,1,,,,,, 
http://snapcats.org/docs/renal_failure.doc,TRUE,application/msword,118784,2017-02-19T00:30:21,3,,,,,,1,,,,,, 
http://snapcats.org/docs/poisonous_plants.doc,TRUE,application/msword,112640,2017-02-19T00:30:20,3,,,,,,1,,,,,, 
http://snapcats.org/docs/megacolon.doc,TRUE,application/msword,116224,2017-02-19T00:30:20,3,,,,,,1,,,,,, 
http://snapcats.org/docs/parasites.doc,TRUE,application/msword,108032,2017-02-19T00:30:19,3,,,,,,1,,,,,, 
http://snapcats.org/docs/manx_syndrome.doc,TRUE,application/msword,99328,2017-02-19T00:30:17,3,,,,,,1,,,,,, 
http://snapcats.org/docs/nail_trimming_101.doc,TRUE,application/msword,97792,2017-02-19T00:30:19,3,,,,,,1,,,,,, 
